,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
エクアドル,"1,461.84","1,909.42","2,180.39","2,434.98","2,700.12","3,025.01","3,351.48","3,588.31","4,267.47","4,241.94","4,633.25","5,192.88","5,664.89","6,030.50","6,347.00","6,099.35","6,046.30","6,216.61","6,318.48","6,260.60","5,670.33","5,978.92","6,462.22","6,642.70","6,829.21","6,987.74","7,159.41","7,329.50","7,503.56"
エジプト,"1,636.75","1,566.20","1,355.28","1,252.40","1,195.60","1,331.36","1,563.74","1,862.16","2,271.23","2,578.88","2,922.80","3,077.34","3,569.48","3,583.85","3,705.47","3,933.93","3,862.01","2,592.71","2,710.16","3,214.30","3,802.44","4,145.94","4,563.30","3,644.26","3,399.27","3,624.80","3,851.88","4,091.74","4,305.64"
エストニア,"4,084.94","4,516.22","5,358.42","7,216.27","8,923.19","10,426.69","12,657.06","16,764.94","18,273.30","14,756.39","14,696.81","17,484.73","17,414.24","19,056.28","20,253.97","17,403.81","18,290.29","20,430.57","23,176.36","23,427.07","23,576.36","27,962.28","28,631.10","31,209.08","33,485.16","36,507.59","39,131.68","41,839.00","44,584.85"
エチオピア,136.056,131.565,123.874,132.704,152.16,181.49,218.637,266.894,350.57,373.199,341.103,377.694,510.537,548.869,622.592,707.975,790.789,822.704,839.861,948.851,969.014,974.185,"1,156.48","1,476.00","1,714.60","1,953.12","2,115.94","2,277.37","2,454.38"
フィンランド,"24,379.78","25,001.18","27,008.26","32,961.92","37,816.08","39,147.22","41,308.62","48,590.20","53,897.91","47,541.75","46,647.00","51,263.57","47,850.56","50,006.02","50,434.79","42,867.09","43,865.76","46,437.21","50,032.02","48,667.72","49,168.16","53,595.19","50,655.13","54,351.25","55,957.47","57,552.00","59,132.98","60,628.79","61,947.14"
フランス,"23,212.45","23,245.26","25,137.40","30,682.64","35,016.22","36,057.12","37,795.92","43,060.03","47,155.21","43,190.97","42,178.58","45,419.97","42,372.07","44,144.62","44,616.46","37,937.86","38,348.51","40,134.13","43,060.59","41,924.84","40,385.40","45,185.85","42,409.05","44,408.42","45,729.43","47,331.18","48,695.38","49,895.64","50,792.52"
グルジア,763.707,820.006,875.188,"1,034.53","1,338.09","1,682.53","2,052.26","2,700.42","3,419.92","2,890.71","3,221.63","4,003.46","4,409.63","4,622.55","4,742.50","4,017.62","4,060.89","4,358.59","4,718.79","4,693.66","4,263.13","4,995.15","6,670.73","7,600.35","8,172.07","8,908.52","9,684.56","10,517.18","11,289.94"
ドイツ,"23,924.88","23,869.77","25,460.33","30,668.85","34,534.81","35,020.20","36,894.47","42,299.86","46,367.86","42,338.71","42,379.71","46,697.38","43,883.39","46,299.37","48,035.80","41,107.22","42,124.20","44,636.83","47,961.04","46,798.83","46,735.31","51,237.64","48,636.03","51,383.50","53,006.84","55,261.56","57,519.92","59,052.93","60,260.39"
ガーナ,606.501,630.698,714.42,860.469,973.287,"1,151.31","1,320.28","1,520.64","1,688.08","1,477.65","1,757.05","2,131.75","2,197.91","2,405.77","2,003.71","1,784.25","1,982.24","2,086.60","2,275.77","2,265.72","2,274.57","2,521.39","2,270.41","2,024.87","2,012.36","2,074.54","2,147.84","2,231.13","2,320.64"
ギリシャ,"12,164.72","12,473.29","14,065.79","18,378.28","21,829.50","22,417.64","24,648.87","28,656.23","31,902.01","29,577.64","26,743.40","25,437.01","21,845.05","21,712.02","21,554.22","18,023.87","17,906.29","18,552.18","19,750.74","19,140.99","17,611.85","20,135.28","20,615.21","22,594.68","23,538.79","24,437.71","25,268.78","26,042.21","26,668.62"
